Web_Based_Framework,Company,Location,Min_Work_Exp,Javascript,Python,OOP,C_programming,Front_end,DB,Eligibilty,Max_Salary
ASP.NET,Accenture,Hyderabad,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Graduate,"4,20,000"
ASP.NET,Accenture,Chennai,2,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,Graduate,"12,00,000"
ASP.NET,IBM,Ahmedabad,2,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"12,00,000"
ASP.NET,IBM,Pune,8,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"14,00,000"
ASP.NET,TCS,Indore,2,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Graduate,"15,00,000"
ASP.NET,TCS,Hyderabad,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Any,"8,80,000"
ASP.NET,TCS,Bhubaneswar,2,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,Graduate,"8,80,000"
ASP.NET,Capgemini,Pune,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Any,"20,00,000"
ASP.NET,Capgemini,Kolkata,4,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,Graduate,"9,50,000"
ASP.NET,Capgemini,Bangalore,2,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,Graduate,"9,50,000"
ASP.NET,Capgemini,Ahmedabad,11,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Graduate,"3,75,00,000"
ASP.NET,Dell,Bangalore,7,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Any,
ASP.NET,Dell,Bangalore,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Any,
ASP.NET,Dell,Bangalore,0,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Any,
ASP.NET,Dell,Bangalore,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Any,
ASP.NET,Mindtree,Chennai,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Graduate,
ASP.NET,Mindtree,Bangalore,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Graduate,"11,00,000"
ASP.NET,Mindtree,Bangalore,6,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Graduate,"7,00,000"
ASP.NET,Mindtree,Bangalore,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Graduate,
ASP.NET,Infosys,Bangalore,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,Any,"7,70,000"
ASP.NET,Infosys,Bangalore,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,Any,
Django,Accenture,Hyderabad,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Graduate,"12,00,000"
Django,Accenture,Hyderabad,4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,Graduate,"6,50,000"
Django,Accenture,Gurgaon,6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Graduate,"12,00,000"
Django,Capgemini,Bangalore,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Any,
Django,Accenture,Pune,6,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,Graduate,"12,00,000"
Django,Accenture,Hyderabad,4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Any,"12,00,000"
Django,Dell,Bangalore,8,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Any,
Django,Dell,Bangalore,8,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Any,
Django,Dell,Bangalore,8,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Any,"33,50,000"
Django,TCS,Chennai,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,Graduate,"8,00,000"
Django,TCS,Ahmedabad,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,"7,60,000"
Django,TCS,Hyderabad,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,"8,00,000"
Django,Tech Mahindra,Pune,4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Any,"8,30,000"
Django,Accenture,Bangalore,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,"12,00,000"
Django,TCS,Kolkata,5,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Graduate,"8,00,000"
Django,IBM,Ahmedabad,5,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Graduate,"17,00,000"
Django,Tech Mahindra,Bangalore,5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Any,
Django,Tech Mahindra,Hyderabad,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,"20,00,000"
Django,TCS,Chennai,3,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Graduate,
Django,Maintec Technologies Pvt.Ltd ,Gurgaon,6,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,Any,"15,00,000"
Django,CGI Group Inc.,Hyderabad,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,
Flask,Capgemini,Bangalore,4,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,Any,
Flask,Dell,Pune,2,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Any,"15,40,000"
Flask,TCS,Delhi,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,"7,60,000"
Flask,Dell,Bangalore,1,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Any,"12,00,000"
Flask,Tech Mahindra,Bangalore,5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Any,
Flask,Tech Mahindra,Hyderabad,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,
Flask,CGI Group Inc.,Hyderabad,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Any,
Flask,CGI Group Inc.,Bangalore,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,
Flask,CGI Group Inc.,Bangalore,3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,
Flask,Express Infrastructure,Chennai,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Any,
Flask,Value Labs,Hyderabad,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,Any,"8,00,000"
Flask,Value Labs,Hyderabad,6,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,
Flask,TCS,Kolkata,8,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,
Flask,Collabera,Pune,4,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduation Not Required,"16,00,000"
Flask,PwC,Hyderabad,8,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Graduate,
Flask,Genpact,Noida,4,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,Graduate,
Flask,eClerx,Mumbai,5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Any,
Flask,eClerx,Pune,5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Any,
Flask,eClerx,Chandigarh,2,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Any,
Flask,Collabera,Gurgaon,5,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduation Not Required,"19,00,000"
Flask,Collabera,Pune,2,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Graduate,
Angular.js,Infosys,Pune,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Any,"11,10,000"
Angular.js,Infosys,Coimbatore,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Any,"11,10,000"
Angular.js,Infosys,Bhubaneswar,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Any,"8,70,000"
Angular.js,Infosys,Mysore,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Any,
Angular.js,Infosys,Hyderabad,8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,
Angular.js,Infosys,Thiruvananthapuram,5,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Any,"19,50,000"
Angular.js,Infosys,Bangalore,5,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,"8,50,000"
Angular.js,Infosys,Nagpur,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Any,"11,10,000"
Angular.js,TCS,Kolkata,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Any,
Angular.js,Cognizant,Chennai,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Graduate,"10,70,000"
Angular.js,Tech Mahindra,Delhi,4,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Graduate,"7,70,000"
Angular.js,Accenture,Hyderabad,4,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,Graduate,
Angular.js,IBM,Ahmedabad,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,"14,90,000"
Angular.js,Accenture,Mumbai,4,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,"16,00,000"
Angular.js,Cognizant,Ahmedabad,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,Graduate,"9,00,000"
Angular.js,TCS,Indore,1,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Graduate,"8,10,000"
Angular.js,Cognizant,Chennai,3,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Graduate,"11,00,000"
Angular.js,Dell,Bangalore,8,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,Any,
Angular.js,Dell,Bangalore,2,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Any,"15,00,000"
Angular.js,TCS,Lucknow,3,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,Graduate,
Angular.js,TCS,Indore,1,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,Any,"15,00,000"
